TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
03/06/2020,41,Vallès Oriental,08207,Sant Esteve de Palautordera,1,Dona,Sospitós,1
03/06/2020,31,Ripollès,17167,Sant Joan de les Abadesses,1,Dona,Sospitós,3
03/06/2020,20,Gironès,17079,Girona,1,Dona,Positiu per Test Ràpid,1
03/06/2020,33,Segrià ,25023,Alpicat,0,Home,Sospitós,1
03/06/2020,30,Ribera d'Ebre,43084,Miravet,1,Dona,Sospitós,1
03/06/2020,13,Barcelonès,08101,L'Hospitalet de Llobregat,1,Dona,Sospitós,7
03/06/2020,07,Bages,08218,Sant Joan de Vilatorrada,1,Dona,Sospitós,2
03/06/2020,19,Garrotxa,17183,Sant Aniol de Finestres,0,Home,Sospitós,1
03/06/2020,23,Noguera,25040,Balaguer,1,Dona,Sospitós,2
03/06/2020,36,Tarragonès,43148,Tarragona,0,Home,Epidemiològic,1
03/06/2020,35,Solsonès,25207,Solsona,0,Home,Sospitós,1
03/06/2020,11,Baix Llobregat,08217,Sant Joan Despí,1,Dona,Sospitós,3
03/06/2020,11,Baix Llobregat,08211,Sant Feliu de Llobregat,0,Home,Sospitós,1
03/06/2020,24,Osona,08112,Manlleu,1,Dona,Sospitós,3
03/06/2020,13,Barcelonès,08019,Barcelona,1,Dona,Positiu per ELISA,5
03/06/2020,41,Vallès Oriental,08106,Llinars del Vallès,1,Dona,Sospitós,1
03/06/2020,30,Ribera d'Ebre,43094,Móra la Nova,1,Dona,Sospitós,1
03/06/2020,13,Barcelonès,08019,Barcelona,1,Dona,Positiu PCR,2
